<<<<<<< HEAD
city_y,id,log_price,price,accommodates,bathrooms,cleaning_fee,latitude,longitude,number_of_reviews,review_scores_rating,zip,bedrooms,beds,zip_lat,zip_lng,population,density
Alhambra,13047048,3.950503526,51.96138615,2,1,1,34.08660752,-118.1318908,14,95,91801,1,1,34.09076,-118.12756,52735,4672.3
Monrovia,13310605,3.988984047,53.99985511,2,1,1,34.14484754,-118.007658,12,96,91016,1,1,34.15213,-118.00069,40598,1846.5
Sunland,17812268,4.003183784,54.77210826,1.5,1,1,34.27606427,-118.3873983,4.5,100,91040,1,1,34.26177,-118.33715,20372,958.9
Lynwood,7246315,4.060443011,57.99984159,2,1,0,33.91833502,-118.208689,64,90,90262,1,1,33.92365,-118.20053,69745,5571.8
Bellflower,10468119.5,4.07015777,58.56604151,2,1,0.5,33.89134523,-118.1284281,8.5,92,90706,1,1,33.88802,-118.12708,76615,4841.7
West Covina,8492783.5,4.073064755,58.7365397,2,1,1,34.04943441,-117.9000854,9,95,91791,1,1,34.06107,-117.89403,32414,1886.3
Monterey Park,11780175,4.077393786,58.99136302,2,1,1,34.055863,-118.1310218,22,95,91754,1,1,34.05096,-118.1446,32742,2787.8
Granada Hills,10247549,4.077537444,58.99983818,2,1,1,34.26957883,-118.4994045,16,95,91344,1,1,34.29392,-118.5075,51747,1217.5
Sylmar,14536995,4.077537444,58.99983818,2,1,1,34.30253164,-118.4234488,10,98,91342,1,1,34.31515,-118.3851,91725,642.6
Huntington Park,10584717.5,4.080259124,59.16063546,2,1,0.5,33.98677008,-118.2284081,71.5,97,90255,1,1,33.97703,-118.2173,75066,7794.8
La Mirada,16657847.5,4.085941003,59.4977356,2,1,0.5,33.91005385,-118.0014261,19,97,90638,1,1,33.90241,-118.0092,49012,2404.8
South El Monte,14013142,4.094344562,59.99983476,2,1,1,34.03618397,-118.0420913,19,99,91733,1,1,34.04553,-118.05318,43896,2537.7
Torrance,13765644,4.094344562,59.99983476,2,1,1,33.83050145,-118.3397945,15,97,90504,1,1,33.8334,-118.33114,36678,2784.8
Duarte,10277947.5,4.11741514,61.40015568,3,1,1,34.1439357,-117.9707558,8.5,96.5,91010,1,2,34.14074,-117.95671,26074,1430
Lomita,10855598.5,4.118739644,61.48153426,2,1,1,33.79289948,-118.3146552,9,94.5,90717,1,1,33.79383,-118.31719,21318,4154.6
San Marino,14393330.5,4.125962357,61.92720495,4,2.5,1,34.11075381,-118.1255976,4,95.5,91108,1,2,34.12239,-118.11338,13361,1353.7
Bell Gardens,4481427,4.127134385,61.99982788,2,1,1,33.97119436,-118.1880057,103,96,90201,1,1,33.97074,-118.17084,101279,6586.1
San Gabriel,11080196,4.134365916,62.44980631,2,1,1,34.08224001,-118.0949645,26.5,95,91776,1,1,34.08988,-118.09494,38475,4362.9
Downey,12837932,4.143134726,62.99982443,2,1,1,33.94585992,-118.118701,26,98,90241,1,1,33.94087,-118.12923,42399,3393.7
Baldwin Park,14345192,4.14702482,63.24537678,2.5,1,1,34.08114132,-117.9746942,5.5,100,91706,1,1.5,34.09641,-117.96816,76571,2200.7
Winnetka,10645452.5,4.150760827,63.48210375,3,1,1,34.20628748,-118.573297,13.5,98.5,91306,1,1.5,34.20927,-118.5754,45061,4204.2
Panorama City,5111503,4.162410649,64.22598307,2.5,1,1,34.23458603,-118.4519626,2.5,100,91402,1,1.5,34.22411,-118.44481,69817,7232.8
Carson,10603938.5,4.17438727,64.99981749,2,1,1,33.82773289,-118.262258,15.5,96.5,90745,1,1,33.82124,-118.26441,57251,2663.4
Harbor City,9494936.5,4.196494794,66.45280332,2.5,1,1,33.79877982,-118.3020363,13,97.5,90710,1,1,33.79809,-118.29907,25457,4175.3
Lawndale,12775443.5,4.217774601,67.88205841,2,1,1,33.88363361,-118.3568107,31,97.5,90260,1,1,33.88829,-118.35125,34924,5031.3
Tujunga,9861797,4.219507705,67.999807,3,1,1,34.25306107,-118.2812755,5,97,91042,1,2,34.31653,-118.24912,27585,213.5
Azusa,14108510,4.219507705,67.999807,2,1,1,34.13922033,-117.9088276,5,100,91702,1,1,34.26557,-117.86722,59705,136.1
Cerritos,14078102,4.219507705,67.999807,2,1,1,33.86400451,-118.0575619,28.5,96.5,90703,1,1,33.86786,-118.06874,49399,2173.1
Reseda,10766309,4.234106505,68.99980348,3,1,1,34.19247341,-118.5382413,8,96,91335,1,2,34.20105,-118.54067,74363,4373.7
Rosemead,12440155.5,4.234106505,68.99980348,2,1,1,34.06274957,-118.1008152,7,96.5,91770,1,1.5,34.0644,-118.08365,62097,3732.9
Hawthorne,11010471.5,4.248495242,69.99979996,3,1,1,33.92377782,-118.362709,8.5,93.5,90250,1,2,33.91437,-118.3493,93193,5374.7
North Hollywood,12229120.5,4.317488114,74.99978219,2,1,1,34.17082961,-118.3761081,12,97,91602,1,1,34.16854,-118.37254,37180,5208.8
Valley Village,12652833,4.317488114,74.99978219,2,1,1,34.16698026,-118.3969698,9,98,91607,1,1,34.16622,-118.40008,27927,4420
Van Nuys,10413576,4.33073334,75.99977861,2,1,1,34.18812971,-118.448284,13,96,91405,1,1,34.17855,-118.44811,39285,4392.5
Northridge,15535614.5,4.356708827,77.99977142,3.5,1,1,34.23246774,-118.5352137,11,97,91325,1,2,34.23602,-118.51759,32417,2594.1
Sun Valley,10907284,4.369447852,78.99976781,2,1,0,34.22090864,-118.3669829,15,91,91352,1,1,34.23193,-118.3664,47807,1581.9
San Pedro,13334098,4.369447852,78.99976781,2,1,1,33.72658327,-118.2954696,17,97,90731,1,1,33.73334,-118.27432,59662,2515.4
Arcadia,9058461.5,4.400433621,81.48595395,3.5,1,1,34.12822163,-118.0364529,6.5,94,91007,1,2,34.12865,-118.04815,34095,2368.1
Burbank,13736034,4.442651256,84.99974599,2,1,1,34.17369967,-118.3290801,20,98,91505,1,1,34.17473,-118.32701,24939,2357.7
Woodland Hills,13787985,4.48863637,88.99973128,2,1,1,34.16406534,-118.6063801,13,98,91364,1,1,34.15476,-118.59509,25851,1314.5
El Segundo,11280648,4.49422302,89.49833278,2,1,1,33.92019508,-118.4173464,22,97,90245,1,1,33.91695,-118.40206,16654,1177
Tarzana,15753067.5,4.49422302,89.49833278,2,1,1,34.16804783,-118.5470092,12,95,91356,1,1,34.15508,-118.54751,29458,1550.7
Encino,7475118.5,4.49980967,89.99972759,2,1,1,34.16100553,-118.5047751,6.5,98.5,91316,1,1.5,34.16039,-118.51669,26898,2074.1
Montrose,11661652,4.521788577,91.99972017,2,1,1,34.2088557,-118.2363041,14,96,91020,1,1,34.21129,-118.23064,8415,4320.4
Whittier,11396225,4.553876892,94.999709,3,1.5,1,33.97162966,-118.034962,19,99,90602,1,2,33.97199,-118.0223,25777,2682.1
Paramount,5262247,4.553876892,94.999709,4,1,1,33.90746157,-118.1663732,151,99,90723,2,2,33.89743,-118.16482,54099,4458.8
La Crescenta,12725573.5,4.553876892,94.999709,2,1,1,34.2326397,-118.2534674,8,97.5,91214,1,1,34.23671,-118.24925,30356,1553.1
Sierra Madre,17902877.5,4.574498371,96.97908084,2,1,1,34.16803589,-118.0528212,26,95.5,91024,1,1.5,34.16871,-118.05037,10917,1427.6
Culver City,10599015,4.579734021,97.48816054,2,1,1,34.00940407,-118.3996487,25.5,98,90232,1,1,34.01879,-118.39182,15149,2777.2
Altadena,12682254,4.590043664,98.49842684,2,1,1,34.1919629,-118.1403503,10,97,91001,1,1,34.19544,-118.13796,36126,1689.5
Pasadena,12867778,4.59511985,98.999694,3,1,1,34.14977988,-118.133396,14,97,91105,1,2,34.15833,-118.1282,27480,3176
Los Angeles,12168702,4.59511985,98.999694,2,1,1,34.07383532,-118.3291662,18,96,90034,1,1,34.07621,-118.32692,42147,5761.9
Long Beach,11528086,4.59511985,98.999694,2,1,1,33.77117124,-118.1645956,16,97,90803,1,1,33.76161,-118.1746,39347,3066.6
Redondo Beach,10284850.5,4.600145018,99.49843583,2,1,1,33.84432606,-118.3807991,17.5,97,90277,1,1,33.83077,-118.38458,35293,3804.3
Glendale,13329746,4.605170186,99.99969023,2,1,1,34.16030705,-118.2585609,16.5,97.5,91204,1,1,34.16784,-118.26098,22781,3736
South Pasadena,11987862,4.605170186,99.99969023,3,1,1,34.11289997,-118.1540954,13,98,91030,1,2,34.1102,-118.15735,25616,2899.5
Sherman Oaks,12289989.5,4.65396035,104.9996713,3,1,1,34.15385486,-118.4429516,9,99,91423,1,1,34.14852,-118.43272,30991,2742.5
Porter Ranch,8933294,4.744932128,114.999633,4,1,1,34.27944693,-118.5558439,14,97,91326,2,3,34.28048,-118.55758,33708,1595.1
Hawaiian Gardens,9032751,4.744932128,114.999633,6,2,1,33.83516319,-118.0741639,30,99,90716,3,3,33.83032,-118.073,14184,5881.1
La Canada Flintridge,10322206.5,4.782256093,119.3729799,3,1,1,34.20070892,-118.200378,30,97,91011,1,1.5,34.22161,-118.20516,20280,660.6
Studio City,13326222.5,4.787491743,119.9996136,3,1,1,34.14183086,-118.3914284,12,98,91604,1,1,34.13882,-118.39353,29034,2176.4
Signal Hill,10253116,4.828313737,124.999594,4,2,1,33.79413317,-118.1617166,19,95,90755,2,2,33.80289,-118.16771,11074,1962.2
West Hills,13936394,4.851908179,127.9839564,5.5,2,1,34.19639304,-118.638483,14.5,98.5,91307,2,3.5,34.20164,-118.66216,24474,1172.5
Santa Monica,12470816,4.859812404,128.9995783,2,1,1,34.01937394,-118.4852519,20,96,90404,1,1,34.01546,-118.47368,24525,3967.1
Playa Vista,13570789,4.905274778,134.9995546,3,1,1,33.9737509,-118.4225875,7,93,90094,1,2,33.97539,-118.417,5464,3460.4
Venice,12225622,4.941642423,139.9995346,3,1,1,33.99338749,-118.4677112,33,96,90291,1,1,33.99437,-118.46344,28341,4379.7
Playa Del Rey,10446926,4.955827058,141.9995266,3,1,1,33.95840719,-118.4436178,15,96,90293,1,1,33.95033,-118.43721,12132,1638.6
West Hollywood,10072583.5,4.976733742,144.9995146,2,1,1,34.08913673,-118.3799476,19,97,90069,1,1,34.09386,-118.38171,20483,3740.7
Beverly Hills,10140164,5.003946306,148.9994985,2,1,1,34.06780639,-118.3979735,13,97,90211,1,1,34.06496,-118.40193,11555,4649.4
Topanga,13142676,5.010635294,149.9994944,4,1,1,34.10412254,-118.6016414,33,98,90290,1,2,34.09588,-118.60708,6368,122.6
Hermosa Beach,14485603.5,5.043425117,154.9994742,2.5,1,1,33.8616961,-118.3986625,13,97.5,90254,1,1.5,33.86546,-118.39665,19506,5278.8
Marina Del Rey,12962229,5.111987788,165.9994292,4,1,1,33.97911551,-118.4599845,14,96,90292,1,2,33.97831,-118.44761,21576,4091.9
Palos Verdes Peninsula,11432740.5,5.114142379,166.3574753,4.5,1,1,33.78732644,-118.3638234,23,98,90274,1,2,33.77734,-118.36893,25209,813.1
Pacific Palisades,12025202,5.164785974,174.999392,4,1,1,34.0440721,-118.5394321,15,98,90272,1,2,34.07991,-118.54219,22986,388.7
Manhattan Beach,12232134,5.416100402,224.9991803,4,1,1,33.89681734,-118.4115802,13,97,90266,1,2,33.8895,-118.39718,35135,3446.3
Mission Hills,9403751,5.686975356,294.9988715,8,2,0,34.2708581,-118.4540371,14,83,91345,3,4,34.26594,-118.45945,18496,2203.5
Malibu,11295809,5.703782475,299.998849,4,1,1,34.03723826,-118.7871738,14.5,97,90265,1,2,34.07191,-118.8499,18116,64.9
Rancho Palos Verdes,9489830,5.857933154,349.9986209,3,1,1,33.75886081,-118.3932096,31,95,90275,1,3,33.75545,-118.36393,41804,1193.6
San Fernando,16173452,6.11368218,451.9981412,12,2.5,1,34.30348334,-118.4279044,11,98,91340,4,8,34.28671,-118.4351,34188,3904
=======
city_y,id,log_price,accommodates,bathrooms,cleaning_fee,latitude,longitude,number_of_reviews,review_scores_rating,zip,bedrooms,beds,zip_lat,zip_lng,population,density
South Gate,1620039.0,3.49650756146648,1.0,1.0,1.0,33.944091645268415,-118.16290911952179,12.0,88.0,90280.0,1.0,1.0,33.94467,-118.19268000000001,94396.0,4989.2
Pacoima,16287487.0,3.6625744789777874,1.5,1.25,0.5,34.26303494756937,-118.40606682257842,3.0,95.0,91331.0,1.5,1.5,34.25563,-118.42076000000002,103689.0,4522.3
Chatsworth,13493801.0,3.7114856255247104,1.5,1.0,0.5,34.24646576738917,-118.6048572803781,23.5,97.5,91311.0,1.0,1.0,34.28937,-118.60741999999999,36557.0,440.0
Norwalk,4821748.0,3.7336855334587797,1.0,1.0,1.0,33.89812190674692,-118.08223079348983,11.5,97.0,90650.0,0.5,1.0,33.90685,-118.08263000000001,105549.0,4154.1
La Puente,5368963.0,3.7477709719421277,5.0,1.5,1.0,34.05773143522532,-117.97468155026797,4.0,97.5,91746.0,2.5,2.5,34.044259999999994,-117.98625,30485.0,2113.3
Gardena,13084346.0,3.80666248977032,3.0,1.0,1.0,33.89783990810115,-118.30110452674614,6.0,96.0,90247.0,1.0,1.0,33.8914,-118.29737,47487.0,4883.7
Temple City,11136854.0,3.80666248977032,3.0,1.0,1.0,34.103464157766524,-118.05873999660221,11.0,96.0,91780.0,1.0,1.0,34.10148,-118.05547,34332.0,3464.2
Montebello,11310112.5,3.8593427475992335,3.0,1.0,1.0,34.02056460493435,-118.11918995921307,29.0,93.5,90640.0,1.0,1.5,34.01508,-118.11073,62549.0,2844.3
Lakewood,8119018.0,3.871201010907892,2.0,1.0,1.0,33.847152611920016,-118.12944069971745,10.0,100.0,90712.0,1.0,1.0,33.84901,-118.14672,31499.0,2839.6
Compton,13659591.5,3.871201010907892,2.5,1.0,1.0,33.90535063291783,-118.21933087238962,13.5,99.0,90221.0,1.0,1.5,33.88615,-118.22100499999999,51516.0,3889.0
North Hills,9859707.5,3.890986617217192,2.0,1.0,1.0,34.231287633091696,-118.48559871274077,19.0,97.5,91343.0,1.0,1.0,34.23827,-118.48066999999999,60254.0,3935.6
El Monte,9281174.0,3.8918202981106265,2.0,1.0,1.0,34.06822768746852,-118.02312522772148,27.0,97.0,91732.0,1.0,2.0,34.07343,-118.01445,61386.0,5134.0
Pico Rivera,9347680.0,3.8918202981106265,2.0,1.0,1.0,33.98043051502695,-118.09649177914301,39.0,97.0,90660.0,1.0,1.0,33.988820000000004,-118.09063,62928.0,3135.2
Covina,10339185.0,3.8918202981106265,2.0,1.0,1.0,34.084521478792055,-117.88832668918987,5.0,96.0,91723.0,1.0,1.0,34.084759999999996,-117.88643,18275.0,3037.9
Glendora,14964080.0,3.912023005428147,4.0,1.0,1.0,34.13605035857562,-117.865128941294,7.0,99.0,91741.0,1.0,2.0,34.15372,-117.84368,25824.0,672.5
Canoga Park,10812612.0,3.912023005428147,2.0,1.0,1.0,34.210255405438446,-118.61132052654631,12.0,97.0,91304.0,1.0,1.0,34.22466,-118.6325,50231.0,2062.1
Santa Fe Springs,6390159.0,3.912023005428147,2.0,1.0,1.0,33.941475137760236,-118.0664165835825,3.0,100.0,90670.0,1.0,1.0,33.933009999999996,-118.06263999999999,14866.0,678.3
Inglewood,10989908.0,3.912023005428147,2.0,1.0,1.0,33.969169522882495,-118.34964070071615,9.5,95.0,90302.0,1.0,1.0,33.967155000000005,-118.35548999999999,29415.0,5998.7
Alhambra,13047048.0,3.9505035259962105,2.0,1.0,1.0,34.08660751891788,-118.13189075377593,14.0,95.0,91801.0,1.0,1.0,34.090759999999996,-118.12756,52735.0,4672.3
Monrovia,13310605.0,3.9889840465642745,2.0,1.0,1.0,34.14484753517545,-118.00765795259498,12.0,96.0,91016.0,1.0,1.0,34.15213,-118.00068999999999,40598.0,1846.5
Sunland,17812268.0,4.003183783825123,1.5,1.0,1.0,34.276064270595384,-118.3873983198618,4.5,100.0,91040.0,1.0,1.0,34.26177,-118.33715,20372.0,958.9
Lynwood,7246315.0,4.060443010546419,2.0,1.0,0.0,33.91833502084528,-118.20868901829408,64.0,90.0,90262.0,1.0,1.0,33.92365,-118.20053,69745.0,5571.8
Bellflower,10468119.5,4.070157770079993,2.0,1.0,0.5,33.89134522852387,-118.12842809115894,8.5,92.0,90706.0,1.0,1.0,33.888020000000004,-118.12708,76615.0,4841.7
West Covina,8492783.5,4.0730647550127035,2.0,1.0,1.0,34.04943440879207,-117.90008543877715,9.0,95.0,91791.0,1.0,1.0,34.06107,-117.89403,32414.0,1886.3
Monterey Park,11780175.0,4.07739378638426,2.0,1.0,1.0,34.055862997243125,-118.13102176909982,22.0,95.0,91754.0,1.0,1.0,34.050959999999996,-118.1446,32742.0,2787.8
Granada Hills,10247549.0,4.07753744390572,2.0,1.0,1.0,34.2695788265819,-118.49940452534031,16.0,95.0,91344.0,1.0,1.0,34.29392,-118.5075,51747.0,1217.5
Sylmar,14536995.0,4.07753744390572,2.0,1.0,1.0,34.302531636197315,-118.42344880806783,10.0,98.0,91342.0,1.0,1.0,34.31515,-118.3851,91725.0,642.6
Huntington Park,10584717.5,4.080259123738753,2.0,1.0,0.5,33.9867700813182,-118.22840807952254,71.5,97.0,90255.0,1.0,1.0,33.97703,-118.2173,75066.0,7794.8
La Mirada,16657847.5,4.08594100306391,2.0,1.0,0.5,33.910053846625814,-118.0014260622367,19.0,97.0,90638.0,1.0,1.0,33.902409999999996,-118.0092,49012.0,2404.8
South El Monte,14013142.0,4.0943445622220995,2.0,1.0,1.0,34.03618396678904,-118.04209133236816,19.0,99.0,91733.0,1.0,1.0,34.04553,-118.05318,43896.0,2537.7
Torrance,13765644.0,4.0943445622220995,2.0,1.0,1.0,33.83050144613712,-118.33979452858152,15.0,97.0,90504.0,1.0,1.0,33.8334,-118.33113999999999,36678.0,2784.8
Duarte,10277947.5,4.117415140221028,3.0,1.0,1.0,34.143935697867136,-117.97075579632244,8.5,96.5,91010.0,1.0,2.0,34.14074,-117.95671000000002,26074.0,1430.0
Lomita,10855598.5,4.118739644306816,2.0,1.0,1.0,33.79289948153186,-118.3146551728516,9.0,94.5,90717.0,1.0,1.0,33.79383,-118.31719,21318.0,4154.6
San Marino,14393330.5,4.125962356900678,4.0,2.5,1.0,34.11075381389203,-118.12559759313714,4.0,95.5,91108.0,1.0,2.0,34.12239,-118.11338,13361.0,1353.7
Bell Gardens,4481427.0,4.127134385045092,2.0,1.0,1.0,33.97119436396739,-118.18800568867356,103.0,96.0,90201.0,1.0,1.0,33.97074,-118.17083999999998,101279.0,6586.1
San Gabriel,11080196.0,4.134365916058869,2.0,1.0,1.0,34.08224000870625,-118.09496448823458,26.5,95.0,91776.0,1.0,1.0,34.08988,-118.09494,38475.0,4362.9
Downey,12837932.0,4.143134726391533,2.0,1.0,1.0,33.94585992223696,-118.1187009930294,26.0,98.0,90241.0,1.0,1.0,33.940870000000004,-118.12923,42399.0,3393.7
Baldwin Park,14345192.0,4.147024820051014,2.5,1.0,1.0,34.0811413222025,-117.97469415566144,5.5,100.0,91706.0,1.0,1.5,34.09641,-117.96816000000001,76571.0,2200.7
Winnetka,10645452.5,4.150760827470364,3.0,1.0,1.0,34.20628747813223,-118.57329695718275,13.5,98.5,91306.0,1.0,1.5,34.209270000000004,-118.5754,45061.0,4204.2
Panorama City,5111503.0,4.162410649384391,2.5,1.0,1.0,34.234586033814026,-118.45196260142626,2.5,100.0,91402.0,1.0,1.5,34.224109999999996,-118.44481,69817.0,7232.8
Carson,10603938.5,4.174387269895637,2.0,1.0,1.0,33.82773289164511,-118.26225800550532,15.5,96.5,90745.0,1.0,1.0,33.82124,-118.26441000000001,57251.0,2663.4
Harbor City,9494936.5,4.1964947939784665,2.5,1.0,1.0,33.79877981565596,-118.3020362516601,13.0,97.5,90710.0,1.0,1.0,33.79809,-118.29907,25457.0,4175.3
Lawndale,12775443.5,4.217774601187864,2.0,1.0,1.0,33.8836336094179,-118.35681072094968,31.0,97.5,90260.0,1.0,1.0,33.888290000000005,-118.35125,34924.0,5031.3
Tujunga,9861797.0,4.219507705176107,3.0,1.0,1.0,34.253061073980554,-118.28127551444271,5.0,97.0,91042.0,1.0,2.0,34.31653,-118.24911999999999,27585.0,213.5
Azusa,14108510.0,4.219507705176107,2.0,1.0,1.0,34.139220327011884,-117.90882764601696,5.0,100.0,91702.0,1.0,1.0,34.265570000000004,-117.86721999999999,59705.0,136.1
Cerritos,14078102.0,4.219507705176107,2.0,1.0,1.0,33.86400450673602,-118.05756187921212,28.5,96.5,90703.0,1.0,1.0,33.86786,-118.06873999999999,49399.0,2173.1
Reseda,10766309.0,4.23410650459726,3.0,1.0,1.0,34.19247340719802,-118.53824133310988,8.0,96.0,91335.0,1.0,2.0,34.20105,-118.54066999999999,74363.0,4373.7
Rosemead,12440155.5,4.23410650459726,2.0,1.0,1.0,34.062749565555166,-118.1008151834751,7.0,96.5,91770.0,1.0,1.5,34.0644,-118.08365,62097.0,3732.9
Hawthorne,11010471.5,4.248495242049359,3.0,1.0,1.0,33.92377782386385,-118.36270898150964,8.5,93.5,90250.0,1.0,2.0,33.91437,-118.3493,93193.0,5374.7
North Hollywood,12229120.5,4.31748811353631,2.0,1.0,1.0,34.17082961084773,-118.37610807573118,12.0,97.0,91602.0,1.0,1.0,34.16854,-118.37253999999999,37180.0,5208.8
Valley Village,12652833.0,4.31748811353631,2.0,1.0,1.0,34.16698025965908,-118.39696977102415,9.0,98.0,91607.0,1.0,1.0,34.16622,-118.40008,27927.0,4420.0
Van Nuys,10413576.0,4.330733340286331,2.0,1.0,1.0,34.188129711086766,-118.44828401605729,13.0,96.0,91405.0,1.0,1.0,34.17855,-118.44811000000001,39285.0,4392.5
Northridge,15535614.5,4.356708826689592,3.5,1.0,1.0,34.23246773759843,-118.53521374743103,11.0,97.0,91325.0,1.0,2.0,34.23602,-118.51758999999998,32417.0,2594.1
Sun Valley,10907284.0,4.3694478524670215,2.0,1.0,0.0,34.22090863868624,-118.36698290535392,15.0,91.0,91352.0,1.0,1.0,34.23193,-118.3664,47807.0,1581.9
San Pedro,13334098.0,4.3694478524670215,2.0,1.0,1.0,33.726583274584954,-118.29546957736851,17.0,97.0,90731.0,1.0,1.0,33.733340000000005,-118.27431999999999,59662.0,2515.4
Arcadia,9058461.5,4.400433621235239,3.5,1.0,1.0,34.12822163423791,-118.03645288520272,6.5,94.0,91007.0,1.0,2.0,34.12865,-118.04815,34095.0,2368.1
Burbank,13736034.0,4.442651256490317,2.0,1.0,1.0,34.173699665441454,-118.32908012385741,20.0,98.0,91505.0,1.0,1.0,34.17473,-118.32701000000002,24939.0,2357.7
Woodland Hills,13787985.0,4.48863636973214,2.0,1.0,1.0,34.16406534236073,-118.60638014068581,13.0,98.0,91364.0,1.0,1.0,34.154759999999996,-118.59508999999998,25851.0,1314.5
El Segundo,11280648.0,4.4942230200312006,2.0,1.0,1.0,33.92019508119736,-118.41734636952967,22.0,97.0,90245.0,1.0,1.0,33.91695,-118.40206,16654.0,1177.0
Tarzana,15753067.5,4.4942230200312006,2.0,1.0,1.0,34.16804783058666,-118.54700919234833,12.0,95.0,91356.0,1.0,1.0,34.15508,-118.54751,29458.0,1550.7
Encino,7475118.5,4.4998096703302615,2.0,1.0,1.0,34.161005532019914,-118.50477510449616,6.5,98.5,91316.0,1.0,1.5,34.16039,-118.51669,26898.0,2074.1
Montrose,11661652.0,4.5217885770490405,2.0,1.0,1.0,34.20885569860711,-118.23630406122557,14.0,96.0,91020.0,1.0,1.0,34.211290000000005,-118.23064,8415.0,4320.4
Whittier,11396225.0,4.553876891600541,3.0,1.5,1.0,33.971629661906064,-118.03496203562284,19.0,99.0,90602.0,1.0,2.0,33.971990000000005,-118.0223,25777.0,2682.1
Paramount,5262247.0,4.553876891600541,4.0,1.0,1.0,33.90746157011863,-118.16637324246169,151.0,99.0,90723.0,2.0,2.0,33.89743,-118.16481999999999,54099.0,4458.8
La Crescenta,12725573.5,4.553876891600541,2.0,1.0,1.0,34.23263969970377,-118.25346741328713,8.0,97.5,91214.0,1.0,1.0,34.236709999999995,-118.24925,30356.0,1553.1
Sierra Madre,17902877.5,4.574498370867565,2.0,1.0,1.0,34.16803589369308,-118.05282123987911,26.0,95.5,91024.0,1.0,1.5,34.16871,-118.05037,10917.0,1427.6
Culver City,10599015.0,4.579734020801213,2.0,1.0,1.0,34.009404068998236,-118.3996486677089,25.5,98.0,90232.0,1.0,1.0,34.01879,-118.39182,15149.0,2777.2
Altadena,12682254.0,4.590043664402581,2.0,1.0,1.0,34.191962900028614,-118.14035033039238,10.0,97.0,91001.0,1.0,1.0,34.195440000000005,-118.13796,36126.0,1689.5
Pasadena,12867778.0,4.59511985013459,3.0,1.0,1.0,34.14977987835931,-118.13339597544649,14.0,97.0,91105.0,1.0,2.0,34.15833,-118.1282,27480.0,3176.0
Los Angeles,12168702.0,4.59511985013459,2.0,1.0,1.0,34.073835320361226,-118.3291661851851,18.0,96.0,90034.0,1.0,1.0,34.076209999999996,-118.32692,42147.0,5761.9
Long Beach,11528086.0,4.59511985013459,2.0,1.0,1.0,33.771171238664905,-118.16459556750658,16.0,97.0,90803.0,1.0,1.0,33.76161,-118.1746,39347.0,3066.6
