,id,host_since,city_y,property_type,log_price,review_scores_rating
16419,883375,2009-10-01,Los Angeles,Apartment,4.59511985013459,97.0
14965,4576487,2009-10-02,Los Angeles,Apartment,4.787491742782046,88.0
5348,4581155,2009-10-03,Los Angeles,House,5.5174528964647065,98.0
272,16758040,2009-10-20,Los Angeles,Bungalow,5.010635294096256,100.0
14524,15988145,2009-10-28,Los Angeles,Apartment,4.59511985013459,100.0
20939,4410626,2009-10-28,Venice,House,5.293304824724492,96.0
9035,13446580,2009-10-28,Los Angeles,Apartment,4.31748811353631,90.0
5102,10655519,2009-10-28,Los Angeles,House,5.416100402204419,94.0
8996,1053666,2009-10-28,Los Angeles,Apartment,3.6635616461296463,98.0
4814,20726546,2009-10-28,Hermosa Beach,House,5.855071922202427,98.0
14627,2835711,2009-10-29,Venice,House,5.6524891802686525,93.0
7755,4435213,2009-11-03,Los Angeles,Apartment,4.553876891600541,100.0
19317,18472645,2009-11-04,San Pedro,Apartment,4.0943445622220995,100.0
8619,9919519,2009-11-04,Manhattan Beach,House,6.309918278226516,93.0
19251,16910467,2009-11-04,Manhattan Beach,Apartment,5.6167710976665735,94.0
16172,4586065,2009-11-06,Los Angeles,Apartment,4.605170185988092,100.0
1274,577883,2009-11-07,South Pasadena,Apartment,4.700480365792417,100.0
15944,15497102,2009-11-09,Los Angeles,Apartment,4.174387269895637,90.0
14204,16752592,2009-11-09,Venice,Apartment,4.605170185988092,100.0
11033,15299954,2009-11-18,Los Angeles,Apartment,5.541263545158426,98.0
9424,12562914,2009-11-18,Los Angeles,Apartment,5.579729825986222,97.0
330,16283994,2009-11-18,Venice,Loft,5.147494476813453,91.0
9400,19178193,2009-11-18,Venice,House,5.1647859739235145,93.0
1642,18006153,2009-11-20,Los Angeles,Apartment,4.553876891600541,97.0
7918,17269114,2009-11-24,Los Angeles,Dorm,3.7612001156935615,73.0
5657,9827188,2009-11-24,Pasadena,Apartment,4.90527477843843,93.0
4077,6727254,2009-11-24,Los Angeles,Dorm,3.80666248977032,87.0
10452,11244308,2009-11-24,Los Angeles,Dorm,3.80666248977032,87.0
14040,8439758,2009-11-24,Los Angeles,Dorm,3.7612001156935615,83.0
1592,4750578,2009-11-24,Pasadena,Apartment,4.90527477843843,98.0
19702,12206323,2009-11-24,Los Angeles,Apartment,3.58351893845611,88.0
14264,16981121,2009-11-24,Los Angeles,Dorm,3.80666248977032,80.0
7721,7206007,2009-11-28,Los Angeles,Loft,4.8283137373023015,99.0
6343,11023980,2009-11-30,West Hollywood,Apartment,5.1929568508902095,87.0
9176,15063125,2009-12-02,Los Angeles,House,4.442651256490317,100.0
10997,10231620,2009-12-04,Valley Village,Villa,5.978885764901122,100.0
17707,18875814,2009-12-06,Venice,House,4.941642422609304,99.0
14471,3945636,2009-12-09,Los Angeles,House,6.2633982625916245,100.0
19827,12320880,2009-12-14,Redondo Beach,House,6.1092475827643655,99.0
10125,17196103,2009-12-25,Marina Del Rey,Apartment,4.8283137373023015,91.0
12341,15470948,2009-12-27,Los Angeles,House,4.700480365792417,100.0
6257,16778843,2009-12-28,Santa Monica,House,6.4754327167040895,100.0
8813,5571262,2010-01-03,Los Angeles,Apartment,4.31748811353631,90.0
20362,8847542,2010-01-04,Venice,House,4.59511985013459,94.0
11783,10068386,2010-01-04,Venice,House,5.700443573390688,90.0
17667,9636013,2010-01-04,Venice,House,4.59511985013459,94.0
1950,14983645,2010-01-07,Los Angeles,Townhouse,4.3694478524670215,100.0
1473,113945,2010-01-08,Pasadena,Bungalow,4.4998096703302615,100.0
11213,7871516,2010-01-13,Los Angeles,House,5.541263545158426,100.0
8394,1825386,2010-01-13,Los Angeles,Apartment,5.105945473900579,91.0
2050,20459100,2010-01-13,Los Angeles,Apartment,5.105945473900579,90.0
16936,14009941,2010-01-13,Los Angeles,Apartment,4.59511985013459,87.0
16707,15972360,2010-01-13,Los Angeles,Apartment,5.1298987149230735,93.0
5366,14951775,2010-01-13,Los Angeles,Apartment,4.3694478524670215,98.0
18533,16677092,2010-01-13,Los Angeles,Apartment,4.23410650459726,98.0
6653,9903046,2010-01-15,Venice,House,5.37989735354046,98.0
9641,18888665,2010-01-15,Los Angeles,Apartment,5.318119993844216,97.0
20897,381217,2010-01-23,Long Beach,Apartment,4.8283137373023015,94.0
14223,6044612,2010-01-29,Los Angeles,House,4.31748811353631,97.0
8449,19315218,2010-02-01,Los Angeles,Apartment,5.828945617610207,93.0
15899,2137823,2010-02-01,Los Angeles,House,4.07753744390572,100.0
8601,8906176,2010-02-01,Los Angeles,Apartment,5.247024072160486,100.0
16015,4687730,2010-02-01,Los Angeles,Apartment,4.584967478670572,100.0
1653,19671620,2010-02-01,Los Angeles,House,4.23410650459726,100.0
7615,2793260,2010-02-01,Los Angeles,House,4.59511985013459,94.0
3468,1169588,2010-02-02,Los Angeles,Loft,4.90527477843843,94.0
18450,13233167,2010-02-05,Venice,Apartment,4.820281565605037,98.0
6993,15360914,2010-02-08,Los Angeles,Apartment,4.31748811353631,96.0
20543,1632636,2010-02-08,Los Angeles,Apartment,5.010635294096256,100.0
20726,16145337,2010-02-08,Los Angeles,Apartment,4.941642422609304,97.0
640,18386105,2010-02-09,Venice,Townhouse,4.6443908991413725,100.0
528,17007439,2010-02-10,Los Angeles,House,4.356708826689592,94.0
9020,7509321,2010-02-15,Long Beach,Townhouse,5.575949103146316,100.0
4647,16383326,2010-02-18,Los Angeles,Guesthouse,4.691347882229144,100.0
12572,15780784,2010-02-22,North Hollywood,House,4.290459441148391,96.0
13279,16055807,2010-02-22,Los Angeles,House,5.4380793089231965,92.0
12386,10968274,2010-02-28,Los Angeles,Guesthouse,4.3694478524670215,100.0
22090,722361,2010-03-02,Los Angeles,Apartment,4.07753744390572,99.0
11980,16856193,2010-03-10,Los Angeles,Apartment,3.9889840465642745,96.0
2966,16692402,2010-03-11,Los Angeles,Apartment,4.941642422609304,90.0
8494,12025717,2010-03-11,Los Angeles,Apartment,4.74493212836325,87.0
21085,14908337,2010-03-11,Los Angeles,House,4.867534450455582,89.0
2770,17990998,2010-03-11,Los Angeles,Apartment,4.48863636973214,95.0
19419,9512759,2010-03-11,Los Angeles,Apartment,4.8283137373023015,93.0
21588,36943,2010-03-11,Los Angeles,Apartment,4.382026634673881,90.0
19003,15422816,2010-03-11,Los Angeles,House,4.700480365792417,99.0
15393,10767624,2010-03-11,Los Angeles,Apartment,4.653960350157523,94.0
14770,2466687,2010-03-11,Los Angeles,Apartment,4.553876891600541,85.0
20178,7714664,2010-03-11,Los Angeles,House,4.700480365792417,86.0
14149,11675677,2010-03-15,Los Angeles,Loft,4.248495242049359,98.0
21568,13633620,2010-03-15,Los Angeles,House,4.553876891600541,99.0
4578,7526820,2010-03-17,Venice,House,6.214608098422191,93.0
6124,8106502,2010-03-17,Venice,House,5.991464547107983,91.0
11639,1423038,2010-03-17,Venice,Apartment,5.703782474656202,93.0
11202,10682143,2010-03-17,Van Nuys,House,5.105945473900579,91.0
17304,13282801,2010-03-17,Los Angeles,House,5.0751738152338275,100.0
20137,8381472,2010-03-17,Venice,House,5.416100402204419,95.0
18575,11812986,2010-03-18,Venice,Apartment,5.594711379601837,70.0
11199,17278544,2010-03-18,Venice,Apartment,5.594711379601837,91.0
7237,11903918,2010-03-18,Los Angeles,House,4.23410650459726,93.0
1506,13764772,2010-03-18,Venice,Apartment,5.5174528964647065,96.0
10578,20905799,2010-03-18,Venice,House,5.5174528964647065,98.0
20154,3595607,2010-03-24,Los Angeles,House,5.247024072160486,99.0
11641,15798238,2010-03-26,Los Angeles,Apartment,5.247024072160486,100.0
18780,18293288,2010-03-26,Los Angeles,Apartment,4.0943445622220995,98.0
923,10165625,2010-04-07,Woodland Hills,House,4.3694478524670215,100.0
2951,10960652,2010-04-07,Los Angeles,House,5.926926025970412,100.0
21178,9093991,2010-04-09,Pacific Palisades,House,5.1647859739235145,84.0
3490,19134850,2010-04-09,Culver City,Bed & Breakfast,4.605170185988092,99.0
21762,8053787,2010-04-09,Los Angeles,Apartment,4.007333185232471,100.0
19791,16674135,2010-04-09,Culver City,Bed & Breakfast,4.605170185988092,99.0
9894,9426695,2010-04-11,Torrance,House,4.007333185232471,97.0
14961,18149668,2010-04-12,Los Angeles,Loft,5.293304824724492,93.0
20894,6495474,2010-04-12,Los Angeles,Apartment,4.859812404361672,87.0
1296,3358803,2010-04-12,Los Angeles,Townhouse,5.293304824724492,91.0
8393,5986444,2010-04-12,Los Angeles,Loft,5.293304824724492,87.0
21613,2910103,2010-04-12,Los Angeles,Apartment,4.564348191467836,97.0
11374,17873719,2010-04-12,Los Angeles,Loft,5.003946305945459,92.0
14400,315504,2010-04-18,Long Beach,Apartment,4.248495242049359,97.0
19052,13656154,2010-04-18,Los Angeles,Apartment,4.4998096703302615,93.0
17384,17719353,2010-04-19,Los Angeles,House,4.382026634673881,97.0
13097,6688906,2010-04-19,Los Angeles,Apartment,4.584967478670572,100.0
14737,353801,2010-04-19,Los Angeles,House,5.298317366548036,90.0
13602,7921940,2010-04-23,Venice,Apartment,5.293304824724492,99.0
7360,14805196,2010-04-23,Los Angeles,House,4.007333185232471,97.0
6683,16848792,2010-04-23,Los Angeles,House,4.867534450455582,100.0
20915,6767248,2010-04-23,Harbor City,House,3.951243718581428,98.0
3594,12222625,2010-04-23,Harbor City,House,4.158883083359672,97.0
17748,3137920,2010-05-01,Los Angeles,Apartment,3.80666248977032,100.0
15416,7664991,2010-05-03,Los Angeles,Apartment,4.174387269895637,87.0
9368,6500587,2010-05-11,Pacific Palisades,House,5.010635294096256,95.0
7758,1179778,2010-05-11,Pacific Palisades,House,5.010635294096256,93.0
9123,1246711,2010-05-12,Los Angeles,House,4.007333185232471,100.0
21567,19307193,2010-05-12,Venice,Bungalow,4.653960350157523,98.0
3355,12948650,2010-05-12,Los Angeles,House,4.007333185232471,100.0
8453,18489592,2010-05-12,Venice,House,5.420534999272285,97.0
11216,2437011,2010-05-18,Los Angeles,House,4.442651256490317,98.0
19703,10840730,2010-05-18,Los Angeles,House,4.532599493153255,98.0
17353,18878633,2010-05-18,Los Angeles,House,5.899897353582492,96.0
12731,1551044,2010-05-19,Los Angeles,House,4.74493212836325,97.0
8818,15567766,2010-05-21,Sherman Oaks,Apartment,4.605170185988092,95.0
9464,14066752,2010-05-23,Redondo Beach,House,4.127134385045092,97.0
12394,13511927,2010-05-24,Santa Monica,Apartment,5.899897353582492,93.0
1321,18562272,2010-05-25,Santa Monica,Apartment,4.5217885770490405,99.0
14570,3861529,2010-05-26,Marina Del Rey,Apartment,4.248495242049359,96.0
12681,8324473,2010-05-28,Los Angeles,House,3.912023005428147,97.0
19289,14090665,2010-05-28,Los Angeles,House,4.31748811353631,95.0
354,15875149,2010-05-28,Los Angeles,Bed & Breakfast,4.4998096703302615,98.0
6201,11585296,2010-05-30,Los Angeles,House,4.605170185988092,100.0
14872,14743077,2010-05-31,Los Angeles,House,3.610917912644224,97.0
9144,17172909,2010-05-31,West Hollywood,Apartment,5.298317366548036,100.0
8224,16660899,2010-06-02,Venice,Apartment,4.605170185988092,100.0
7635,9548458,2010-06-02,Venice,Apartment,5.010635294096256,97.0
19527,9534260,2010-06-02,Los Angeles,Apartment,4.248495242049359,91.0
4058,5172775,2010-06-02,Venice,Apartment,4.976733742420574,97.0
17933,16465756,2010-06-03,Los Angeles,Apartment,4.691347882229144,94.0
18015,12693458,2010-06-03,Los Angeles,House,5.579729825986222,99.0
11540,17508710,2010-06-03,Los Angeles,House,4.3694478524670215,88.0
4864,16807128,2010-06-08,Los Angeles,House,4.174387269895637,92.0
1993,6436035,2010-06-08,Rosemead,House,3.912023005428147,98.0
1358,2483759,2010-06-08,Los Angeles,House,4.007333185232471,94.0
3575,19569016,2010-06-08,Los Angeles,House,5.521460917862246,80.0
19664,3492910,2010-06-11,Los Angeles,House,5.293304824724492,100.0
14744,1821541,2010-06-13,Los Angeles,House,3.912023005428147,100.0
3887,7162435,2010-06-13,Los Angeles,House,5.272999558563747,100.0
18031,16322835,2010-06-15,Los Angeles,Apartment,4.219507705176107,99.0
5128,15398002,2010-06-15,Malibu,House,5.220355825078324,99.0
1582,18596420,2010-06-15,Los Angeles,Other,4.219507705176107,99.0
11735,16894722,2010-06-15,Burbank,Townhouse,4.634728988229637,93.0
1966,17636599,2010-06-15,Los Angeles,Cabin,4.219507705176107,99.0
14942,13387453,2010-06-17,Los Angeles,Apartment,4.0943445622220995,98.0
16745,4842895,2010-06-17,Los Angeles,Loft,4.553876891600541,91.0
19146,2135317,2010-06-19,Los Angeles,House,6.907755278982138,100.0
19327,6336240,2010-06-20,Los Angeles,Apartment,4.68213122712422,98.0
11853,14015414,2010-06-20,Los Angeles,House,6.001414877961151,95.0
6706,10983169,2010-06-20,Los Angeles,Loft,5.58724865840025,92.0
18498,351859,2010-06-20,Los Angeles,House,5.857933154483459,99.0
2617,9393885,2010-06-25,Pasadena,House,4.465908118654584,100.0
21332,12738473,2010-06-28,Long Beach,House,5.298317366548036,80.0
12211,4766976,2010-06-28,Los Angeles,Apartment,4.143134726391533,96.0
5732,14788062,2010-06-28,Venice,Apartment,5.272999558563747,92.0
14228,16143905,2010-06-28,Los Angeles,Apartment,5.384495062789089,100.0
6868,19602101,2010-06-29,Los Angeles,House,7.549609165154532,100.0
19734,18820144,2010-07-06,Torrance,House,3.80666248977032,92.0
1498,14341534,2010-07-06,Los Angeles,House,5.393627546352364,100.0
3163,15524715,2010-07-06,Torrance,House,3.4657359027997265,93.0
8172,15470563,2010-07-08,Los Angeles,House,5.017279836814924,93.0
2988,254837,2010-07-08,Los Angeles,House,5.683579767338681,96.0
17796,4691649,2010-07-09,Los Angeles,House,4.31748811353631,97.0
14254,4495026,2010-07-09,Los Angeles,House,4.31748811353631,99.0
1033,4187387,2010-07-09,Los Angeles,Guesthouse,5.978885764901122,100.0
4095,18207393,2010-07-13,Venice,Apartment,5.017279836814924,89.0
13687,16227719,2010-07-13,Venice,Apartment,5.043425116919247,86.0
16780,17533279,2010-07-15,North Hollywood,House,4.158883083359672,96.0
8469,16132636,2010-07-15,North Hollywood,House,4.158883083359672,98.0
6758,11010086,2010-07-18,Los Angeles,House,5.220355825078324,96.0
4021,14268409,2010-07-18,Los Angeles,Apartment,4.23410650459726,91.0
10378,12972574,2010-07-19,Los Angeles,Apartment,4.653960350157523,97.0
7980,11254989,2010-07-19,Studio City,Apartment,4.31748811353631,95.0
6016,13625247,2010-07-19,Northridge,House,4.31748811353631,100.0
828,13970722,2010-07-19,Los Angeles,House,4.867534450455582,98.0
1475,12452576,2010-07-21,Los Angeles,House,4.248495242049359,80.0
7695,18073796,2010-07-21,Glendale,Apartment,4.174387269895637,96.0
21328,8110973,2010-07-21,Los Angeles,House,5.857933154483459,100.0
11183,8266871,2010-07-22,North Hollywood,Apartment,4.382026634673881,87.0
8505,5511865,2010-07-24,Los Angeles,Apartment,3.8918202981106265,93.0
9766,5059553,2010-07-26,Los Angeles,Apartment,5.521460917862246,91.0
9044,12376888,2010-07-27,Venice,House,4.356708826689592,70.0
1854,12444762,2010-07-29,Los Angeles,Loft,6.214608098422191,100.0
10716,10992395,2010-07-29,Los Angeles,Apartment,4.4998096703302615,100.0
38,25827,2010-07-30,Los Angeles,House,5.634789603169249,90.0
13958,13845710,2010-07-31,Los Angeles,Apartment,4.90527477843843,99.0
5459,8506781,2010-08-01,Santa Monica,Apartment,3.688879454113936,100.0
14831,15239590,2010-08-02,Topanga,House,5.105945473900579,96.0
4543,16600545,2010-08-02,North Hollywood,House,5.416100402204419,95.0
18985,4236298,2010-08-02,Los Angeles,Apartment,4.48863636973214,84.0
10284,6170127,2010-08-03,Los Angeles,House,4.30406509320417,97.0
164,6625283,2010-08-03,Hacienda Heights,Apartment,4.248495242049359,93.0
2917,17626341,2010-08-03,Rowland Heights,Apartment,3.8501476017100575,95.0
14336,2711082,2010-08-03,Rowland Heights,Apartment,3.912023005428147,97.0
12181,16626584,2010-08-04,North Hollywood,House,4.174387269895637,96.0
16655,20931718,2010-08-04,Los Angeles,Apartment,4.4998096703302615,100.0
2334,9096011,2010-08-04,Los Angeles,House,3.912023005428147,97.0
14218,19927120,2010-08-04,Los Angeles,House,4.007333185232471,99.0
20575,3447448,2010-08-04,Los Angeles,House,4.0943445622220995,100.0
360,6412848,2010-08-05,Los Angeles,House,4.23410650459726,96.0
6842,19712270,2010-08-05,Marina Del Rey,House,5.799092654460528,90.0
15140,20277675,2010-08-06,Los Angeles,House,5.293304824724492,100.0
2387,10613287,2010-08-06,Los Angeles,House,4.727387818712341,98.0
3476,18991523,2010-08-06,Los Angeles,House,4.7791234931115305,91.0
14263,8862058,2010-08-07,Los Angeles,Apartment,4.442651256490317,100.0
15953,824400,2010-08-08,Lynwood,Apartment,4.31748811353631,82.0
1640,14800877,2010-08-08,Lynwood,Other,4.060443010546419,92.0
7570,6288784,2010-08-08,Van Nuys,Bed & Breakfast,3.688879454113936,89.0
15485,7246315,2010-08-08,Lynwood,Apartment,4.060443010546419,92.0
2829,3986579,2010-08-08,Van Nuys,Bed & Breakfast,3.688879454113936,92.0
7798,752084,2010-08-09,Los Angeles,Apartment,5.1298987149230735,100.0
15498,5571716,2010-08-11,Santa Monica,Bungalow,4.30406509320417,80.0
7898,20516491,2010-08-12,Venice,Apartment,4.941642422609304,97.0
6549,16846327,2010-08-13,Los Angeles,Apartment,4.48863636973214,100.0
8895,13928461,2010-08-14,Los Angeles,Apartment,4.867534450455582,95.0
12871,17866497,2010-08-14,Los Angeles,House,4.605170185988092,90.0
20839,849567,2010-08-14,Los Angeles,Other,5.105945473900579,99.0
13588,1488584,2010-08-14,Los Angeles,House,4.07753744390572,97.0
2605,10363272,2010-08-14,Los Angeles,Bungalow,4.976733742420574,97.0
14614,7713274,2010-08-15,Los Angeles,Apartment,5.6167710976665735,98.0
5313,17015790,2010-08-15,Los Angeles,Apartment,5.416100402204419,96.0
4363,7368887,2010-08-17,Los Angeles,Apartment,4.90527477843843,91.0
12943,13417164,2010-08-18,Los Angeles,House,4.969813299576002,99.0
12931,20998098,2010-08-23,Culver City,Apartment,4.90527477843843,98.0
18297,1937571,2010-08-24,Los Angeles,House,6.09807428216624,97.0
11082,1948456,2010-08-24,Winnetka,Camper/RV,4.442651256490317,95.0
2937,17991859,2010-08-24,Los Angeles,House,4.532599493153255,98.0
17054,13659004,2010-08-24,Los Angeles,Apartment,4.691347882229144,95.0
4671,13319332,2010-08-25,Walnut,House,6.309918278226516,88.0
21731,670212,2010-08-26,Venice,Apartment,4.8283137373023015,94.0
993,14827265,2010-08-26,Venice,House,4.59511985013459,88.0
9798,16917500,2010-08-27,Los Angeles,Apartment,4.174387269895637,95.0
16273,18462461,2010-08-28,Malibu,House,5.1929568508902095,94.0
12625,8240011,2010-08-28,Malibu,House,5.393627546352364,96.0
10987,565873,2010-08-28,Malibu,House,5.298317366548036,95.0
2489,20492314,2010-08-28,Topanga,Guesthouse,5.010635294096256,98.0
2192,9231257,2010-08-31,Pasadena,House,4.795790545596741,93.0
17977,13627991,2010-08-31,Altadena,House,5.389071729816501,60.0
11177,20015326,2010-08-31,Pasadena,House,6.300785794663246,100.0
8744,16377873,2010-08-31,Altadena,House,6.075346031088682,99.0
16023,13003265,2010-08-31,Altadena,House,5.703782474656202,96.0
4703,16814587,2010-09-02,Los Angeles,House,5.6167710976665735,93.0
5658,20599017,2010-09-02,Los Angeles,Apartment,4.382026634673881,100.0
846,19825552,2010-09-03,Granada Hills,Bed & Breakfast,4.158883083359672,98.0
3487,12117528,2010-09-04,Los Angeles,Apartment,4.59511985013459,99.0
4466,17968140,2010-09-06,Los Angeles,Apartment,4.59511985013459,82.0
18650,4680299,2010-09-08,Los Angeles,Apartment,4.248495242049359,75.0
11393,4738429,2010-09-10,Los Angeles,House,3.970291913552122,98.0
6492,260451,2010-09-10,Los Angeles,House,3.970291913552122,94.0
19284,4297642,2010-09-10,Los Angeles,House,3.1780538303479458,95.0
13423,15341726,2010-09-10,Los Angeles,House,3.3672958299864737,91.0
13534,14232159,2010-09-10,Los Angeles,House,3.4339872044851463,93.0
13252,16441486,2010-09-10,Los Angeles,Apartment,3.8918202981106265,97.0
20182,15572690,2010-09-12,Los Angeles,Other,4.219507705176107,100.0
21319,16298603,2010-09-12,Manhattan Beach,House,5.837730447165941,100.0
13222,17266805,2010-09-13,Beverly Hills,House,6.1092475827643655,96.0
21069,10746071,2010-09-13,Santa Monica,Apartment,5.043425116919247,92.0
7272,18305649,2010-09-13,Los Angeles,House,5.4380793089231965,100.0
9318,19960482,2010-09-13,Beverly Hills,Apartment,5.521460917862246,95.0
17179,18076589,2010-09-13,Pasadena,House,4.7791234931115305,94.0
10664,13649060,2010-09-13,Santa Monica,Apartment,5.703782474656202,96.0
19375,14372503,2010-09-13,Pasadena,House,5.272999558563747,89.0
19635,9886034,2010-09-15,Los Angeles,House,4.248495242049359,92.0
17646,18464150,2010-09-16,Los Angeles,Apartment,4.867534450455582,98.0
13285,8632682,2010-09-16,Los Angeles,House,4.852030263919617,95.0
10795,1725853,2010-09-17,Los Angeles,Apartment,4.4998096703302615,98.0
244,5144164,2010-09-18,Los Angeles,Apartment,4.955827057601262,98.0
14086,12364855,2010-09-19,Santa Monica,Apartment,5.220355825078324,88.0
17473,9585339,2010-09-19,Santa Monica,Apartment,4.867534450455582,85.0
15419,2490162,2010-09-19,Santa Monica,Apartment,4.867534450455582,84.0
1323,21043720,2010-09-19,Santa Monica,Apartment,4.8283137373023015,81.0
13697,751818,2010-09-19,Santa Monica,Apartment,5.272999558563747,85.0
9174,14789011,2010-09-19,Santa Monica,Apartment,5.010635294096256,85.0
8743,17223981,2010-09-19,Santa Monica,Apartment,5.272999558563747,90.0
